Ticker,OriginalPrice,Quantity,OriginalDate,ActualPrice,TransType
CSCO,46.98371887,5,7/9/2023,46.98371887,bto
DOW,53.35757446,8,7/9/2023,53.35757446,bto
AAPL,169.3557434,15,7/9/2023,169.3557434,bto
UNH,493.6734924,30,7/9/2023,493.6734924,bto
INTC,30.17642593,20,7/9/2023,30.17642593,bto
WBA,34.09149933,12,7/9/2023,34.09149933,bto
DAL,48.15,16,7/9/2023,48.15,bto
WBA,34.09149933,10,7/9/2023,34.09149933,bto
KO,63.81400299,30,7/9/2023,63.81400299,bto
MRVL,62.7,40,7/9/2023,62.7,bto
GM,40.49,30,7/9/2023,40.49,bto
KO,63.81400299,30,7/9/2023,63.81400299,bto
WBA,34.09149933,6,7/9/2023,34.09149933,bto
MRNA,126.16,27,7/9/2023,126.16,bto
AXP,158.7755432,16,7/9/2023,158.7755432,bto
SBUX,101.48,33,7/9/2023,101.48,bto
LVS,59.36,15,7/9/2023,59.36,bto
BA,203.8699951,12,7/9/2023,203.8699951,bto
MCD,296.008728,8,7/9/2023,296.008728,bto
ACN,313.77,14,7/9/2023,313.77,bto
